name,total,min,max,median
"Сковорода_Григорій_Савич",44898,450,2830,1265.0
"Остап_Вишня",25219,122,2216,673.0
"Підмогильний_Валер'ян_Петрович",18379,131,1306,501.0
"Сосюра_Володимир_Миколайович",15909,91,1572,306.0
"Яновський_Юрій_Іванович",15216,58,1297,423.0
"Микола_Хвильовий",13944,139,898,430.0
"Грінченко_Борис_Дмитрович",12613,91,1005,311.0
"Коростельов_Євген_Володимирович",11042,1,5092,46.0
"Харків",10824,243,456,345.0
"Мина_Мазайло",9868,61,1273,190.0
"Довженко_Олександр_Петрович",8277,92,464,241.0
"Лисенко_Микола_Віталійович",7588,106,436,224.0
"Онищенко_Олександр_Романович",6741,27,1189,109.0
"Кива_Ілля_Володимирович",6077,55,778,122.0
"Костомаров_Микола_Іванович",5944,80,300,195.0
"Шелест_Петро_Юхимович",5859,31,457,182.0
MARUV,5828,76,580,132.0
"Іван_Сірко",5631,84,251,188.0
"Тичина_Павло_Григорович",5482,77,275,192.0
"Квітка-Основ'яненко_Григорій_Федорович",5462,47,440,156.0
"Лесь_Курбас",4996,55,477,132.0
"Іван_Багряний",4558,50,235,153.0
"Всеукраїнський_з'їзд_рад_(Харків)",4502,38,302,140.0
"Харківський_національний_університет_імені_В._Н._Каразіна",4397,41,245,136.0
"Гончар_Олесь_Терентійович",4303,62,225,131.0
"Березіль",4187,24,426,87.0
"Жадан_Сергій_Вікторович",3980,85,292,120.0
"Мечников_Ілля_Ілліч",3551,65,242,101.0
"Тютюнник_Григір_Михайлович",3545,30,229,116.0
"Хоткевич_Гнат_Мартинович",3508,22,255,108.0
"Кропивницький_Марко_Лукич",3270,45,181,92.0
"Пам'ятник_Тарасові_Шевченку_(Харків)",3184,26,217,108.0
"Юзеф_Пілсудський",3105,34,199,95.0
"Ляшко_Олег_Валерійович",3074,29,424,78.0
"Кучер_Олексій_Володимирович",2960,7,1451,31.0
"Володимир_Дантес",2947,33,282,81.0
"Світличний_Іван_Олексійович",2917,26,158,99.0
"Бабкін_Сергій_Миколайович",2695,36,210,77.0
"Гулак-Артемовський_Петро_Петрович",2635,25,172,83.0
"Пальма_Мерцалова",2567,1,879,15.0
"Історія_Харкова",2540,28,150,76.0
"Світоліна_Еліна_Михайлівна",2529,22,366,57.0
"Братство_тарасівців",2479,37,122,83.0
"Мисливські_усмішки",2431,6,198,54.0
"Остроградський_Михайло_Васильович",2379,14,162,70.0
"Щербина_Борис_Євдокимович",2351,16,1189,32.0
"Сільченко_Катерина_Леонідівна",2334,26,279,61.0
"Клочкова_Яна_Олександрівна",2218,28,120,73.0
"Аваков_Арсен_Борисович",2102,37,94,67.0
"Биков_Леонід_Федорович",2032,32,134,56.0
