name,total,min,max,median
"Щербина_Борис_Євдокимович",51997,307,4081,1303.0
"Харків",9141,156,837,194.0
"Сковорода_Григорій_Савич",5787,85,360,171.0
"Мураєв_Євгеній_Володимирович",5425,35,390,184.0
"Веніславський_Федір_Володимирович",4812,4,2252,29.0
"Микола_Хвильовий",4198,41,402,120.0
"Ляшко_Олег_Валерійович",4030,74,194,133.0
"Сніжана_Бабкіна",4026,28,553,51.0
MARUV,4023,84,222,123.0
"Кернес_Геннадій_Адольфович",3965,50,281,106.0
"Рабінович_Вадим_Зіновійович",3560,47,186,113.0
"Бабкін_Сергій_Миколайович",3388,30,370,56.0
"Тичина_Павло_Григорович",3373,32,215,91.0
"Жадан_Сергій_Вікторович",3373,61,426,94.0
"Білецький_Андрій_Євгенійович",3224,55,182,100.0
"Аваков_Арсен_Борисович",3167,37,514,73.0
"Остап_Вишня",3141,21,244,85.0
"Довженко_Олександр_Петрович",2900,37,206,89.0
"Кива_Ілля_Володимирович",2680,23,391,70.0
"Іван_Сірко",2599,55,166,70.0
"Лисенко_Микола_Віталійович",2310,22,178,73.0
"Чикаленко_Євген_Харламович",2136,9,1238,16.0
"Підмогильний_Валер'ян_Петрович",2037,12,161,57.0
"Вернадський_Іван_Васильович",2035,0,1159,5.0
"Володимир_Дантес",2025,35,154,55.0
"Харківський_національний_університет_імені_В._Н._Каразіна",2005,25,237,57.0
"Яновський_Юрій_Іванович",1972,12,152,53.0
"Лесь_Курбас",1940,21,205,55.0
"Танок_на_майдані_Конґо",1859,27,211,46.0
"Іван_Багряний",1823,16,116,49.0
"Мина_Мазайло",1795,14,161,49.0
"Гончар_Олесь_Терентійович",1749,15,161,48.0
"Онищенко_Олександр_Романович",1715,7,255,39.0
"Квітка-Основ'яненко_Григорій_Федорович",1663,17,111,49.0
"Добкін_Михайло_Маркович",1658,20,129,53.0
"Калюжняк_Анатолій_Миколайович",1626,2,386,28.0
"Полторак_Степан_Тимофійович",1575,19,115,48.0
"Братство_тарасівців",1555,2,301,26.0
"Федецький_Артем_Андрійович",1555,12,372,36.0
"Костомаров_Микола_Іванович",1536,18,193,33.0
"Сосюра_Володимир_Миколайович",1527,17,97,42.0
"Рубін_Едуард_Юхимович",1518,9,160,42.0
"Рахманін_Сергій_Іванович",1456,4,532,23.0
"Бондар_Валерій_Юрійович",1435,3,323,20.0
"Шелест_Петро_Юхимович",1423,10,194,36.0
"Бушуєв_Костянтин_Володимирович",1420,1,797,17.0
"Купрейчик_Ірина_Валеріївна",1398,1,1015,4.0
"Харківський_метрополітен",1376,22,83,42.0
"Наливайченко_Валентин_Олександрович",1286,7,193,28.0
"Т-64",1275,25,77,40.0
"Тютюнник_Григір_Михайлович",1252,9,102,33.0
"Грінченко_Борис_Дмитрович",1247,10,99,37.0
"Хомутиннік_Віталій_Юрійович",1224,11,93,36.0
"Березіль",1223,6,162,37.0
"Юзеф_Пілсудський",1199,12,124,34.0
"Голомша_Микола_Ярославович",1187,11,255,24.0
"БТР-4",1117,21,51,35.0
"Кропивницький_Марко_Лукич",1116,18,110,33.0
"Курчатов_Ігор_Васильович",1105,13,67,37.0
"Кірпа_Георгій_Миколайович",1103,12,293,25.0
"Ромеро_Бонфим_Марлос",1041,6,224,17.0
"Національний_юридичний_університет_імені_Ярослава_Мудрого",1011,8,85,30.0
"Перша_столиця_України",1001,14,76,30.0
"Комаровський_Євген_Олегович",993,11,65,28.0
"Мечников_Ілля_Ілліч",987,8,101,24.0
"Світлична_Юлія_Олександрівна",976,11,90,25.0
"Биков_Леонід_Федорович",972,12,77,27.0
"Маркевич_Мирон_Богданович",939,9,78,21.0
"Світоліна_Еліна_Михайлівна",893,10,58,28.0
"Німченко_Василь_Іванович",889,4,119,20.0
"Венедіктова_Ірина_Валентинівна",885,11,122,39.0
"Проспект_Петра_Григоренка_(Харків)",867,0,222,17.0
"Геращенко_Антон_Юрійович",851,9,99,21.0
"Совсун_Інна_Романівна",838,3,134,20.0
"Денисенко_Анатолій_Петрович",822,7,79,27.0
"Металіст_1925",817,12,47,26.0
"Франко_Петро_Іванович",783,10,128,20.0
"Другий_апеляційний_адміністративний_суд",783,2,45,32.0
"Михайль_Семенко",780,2,54,23.0
"Металіст_(Харків)",768,9,47,23.0
"Тараканов_Микола_Дмитрович",765,6,80,31.0
"Т-25_(трактор)",749,8,44,25.0
"Сидоренко_Олександр_Аркадійович",744,6,62,22.0
"Черновецький_Леонід_Михайлович",738,10,34,25.0
"Гвоздик_Олександр_Сергійович",732,11,59,22.0
"Яворницький_Дмитро_Іванович",723,7,100,20.0
"Нікольченко_Влада_Ігорівна",719,0,246,8.0
"Лунченко_Валерій_Валерійович",710,6,51,20.0
"Маліков_Віталій_Володимирович",705,1,313,7.0
"Гулак-Артемовський_Петро_Петрович",692,2,54,20.0
"Семенюк-Самсоненко_Валентина_Петрівна",684,2,201,11.0
"Дар'я_Кобякова",683,10,36,22.0
"Павелко_Андрій_Васильович",680,4,95,16.0
"Кривенко_Віктор_Миколайович",662,9,44,21.0
"Івашко_Володимир_Антонович",656,5,46,18.0
"Список_вулиць_Харкова_(А)",655,1,50,24.0
"Всеукраїнський_з'їзд_рад_(Харків)",654,1,141,13.0
"Бондар_Віктор_Васильович",649,8,68,19.0
"Бублик_Юрій_Васильович",644,3,46,20.0
"Поводир_(фільм,_2013)",643,8,36,19.0
"Кальченко_Сергій_Віталійович",641,1,230,6.0
"Кобін_Василь_Васильович",638,2,162,11.0
5'nizza,636,11,33,22.0
"Деркач_Борис_Юрійович",632,0,396,5.0
"Гегедош_Роберт_Володимирович",632,3,229,12.0
"Луганський_прикордонний_загін",626,1,183,12.0
"Фукс_Павло_Якович",618,3,50,17.0
"Бажан_Микола_Платонович",614,5,45,19.0
"Михайлюта_Олег_Ігорович",610,8,50,16.0
"Забіла_Наталя_Львівна",607,1,66,11.0
"Харківський_тракторний_завод",596,9,41,17.0
"Т-84У_«Оплот»",586,9,33,17.0
"Т-150К_(трактор)",583,7,42,18.0
"Національний_технічний_університет_«Харківський_політехнічний_інститут»",576,8,32,17.0
"Жадан_і_Собаки",572,7,63,15.0
"Райони_Харкова",564,5,34,18.0
"Ведель_Артем_Лук'янович",559,2,51,16.0
"Соболь_Едуард_Олександрович",552,1,233,6.0
"Кірш_Олександр_Вікторович",550,6,36,17.0
"Васильківський_Сергій_Іванович",548,1,65,13.0
"Держпром",544,8,40,15.0
"БТР-3",535,8,31,17.0
"Писаренко_Валерій_Володимирович",535,3,37,15.0
"Фельдман_Олександр_Борисович",533,8,50,14.0
"Українська_народна_партія_(1902)",532,1,73,12.0
"Бурмака_Марія_Вікторівна",532,7,99,14.0
"Гурченко_Людмила_Марківна",531,4,41,16.0
"Мікац_Олег_Михайлович",527,6,31,16.0
"Харківський_національний_університет_повітряних_сил_імені_Івана_Кожедуба",525,7,33,17.0
"Шевельов_Юрій_Володимирович",518,7,30,15.0
"Клочкова_Яна_Олександрівна",518,8,30,17.0
"Курченко_Сергій_Віталійович",516,7,29,17.0
"Україна_(велосипед)",514,7,29,16.0
"Харківський_національний_автомобільно-дорожній_університет",514,0,35,15.0
"Тлумак_Андрій_Богданович",513,0,101,7.0
"Шахов_Сергій_Володимирович",512,2,37,15.0
"Харківська_міська_рада",503,4,54,16.0
"Демчина_Павло_Володимирович",497,4,46,13.0
"Військовий_інститут_танкових_військ_НТУ_«ХПІ»",496,4,30,14.0
"Національна_академія_Національної_гвардії_України",494,6,31,15.0
"Карасьов_Вадим_Юрійович",491,5,46,12.0
"Могилко_Костянтин_Вікторович",487,0,73,7.0
"Хоткевич_Гнат_Мартинович",485,7,29,15.0
"Харківський_національний_університет_міського_господарства_імені_О._М._Бекетова",481,1,36,15.0
"Вірський_Павло_Павлович",480,3,71,10.0
"Пшонка_Віктор_Павлович",479,4,33,15.0
"Марко_Девич",474,3,61,14.0
"Бєлоусов_Євген_Вікторович",468,5,40,14.0
"Міжнародний_аеропорт_«Харків»",463,3,78,13.0
"3-тя_бригада_оперативного_призначення_НГ_(Україна)",461,8,26,15.0
"Райнін_Ігор_Львович",458,4,37,13.0
"Ложкін_Борис_Євгенович",451,2,25,15.0
"Сафронов_Олександр_Олександрович",448,2,167,7.0
"Потебня_Олександр_Опанасович",448,3,42,12.0
"Шаповалов_Юрій_Анатолійович",443,5,29,15.0
"Завод_імені_В._О._Малишева",442,8,27,14.0
"Семиноженко_Володимир_Петрович",442,3,55,10.0
"Чечетов_Михайло_Васильович",441,4,91,11.0
"Харківський_національний_університет_радіоелектроніки",440,4,27,14.0
"Стець_Юрій_Ярославович",435,5,35,12.0
"Ярославський_Олександр_Владиленович",434,6,23,13.0
"Кузьмук_Олександр_Іванович",431,3,68,11.0
"Кушнарьов_Євген_Петрович",430,4,55,12.0
"Бєсєдін_Артем_Юрійович",423,1,43,13.0
"Тайсон_Барселлос_Фреда",422,5,32,12.0
"Світличний_Іван_Олексійович",422,0,68,10.0
"Петренко_Олег_Миколайович",421,4,38,11.0
"Мисливські_усмішки",417,0,47,13.0
"Металіст_(стадіон)",413,4,33,12.0
