"number","title","pageid","namespace","length","touched"
"96","Срезневський_Ізмаїл_Іванович","10536","","18695","20191222211003"
"97","Туган-Барановський_Михайло_Іванович","10558","","26920","20200229092949"
"98","Франко_Петро_Іванович","10564","","14369","20200221204241"
"99","Удовиченко_Олександр_Іванович","10565","","14139","20200419033411"
"100","Христюк_Павло_Оникійович","10570","","14312","20200407191525"
"101","Чикаленко_Євген_Харламович","10580","","23677","20200428144114"
"102","Яворницький_Дмитро_Іванович","10603","","160973","20200426141915"
"103","Кучер_Василь_Степанович","10790","","10945","20200225194853"
"104","Харків","12676","","150118","20200508175039"
"105","Хмельницький_Борис_Мойсейович","15530","","6388","20200506220138"
"106","Хмельницький_Олександр_Анатолійович","15532","","4122","20200404165239"
"107","Хмурий_Василь_Онисимович","15540","","11140","20200503072426"
"108","Ходін_Андрій_Васильович","15545","","4470","20200419135758"
"109","Хотинський_Євген_Семенович","15617","","9492","20200415112925"
"110","Хоткевич_Володимир_Гнатович","15622","","6476","20200423010802"
"111","Хржонщевський_Никанор_Адамович","15634","","89868","20200422170020"
"112","Христенко_Інна_Митрофанівна","15636","","6609","20200419143319"
"113","Цапок_Георгій_Антонович","15686","","3023","20200101005936"
"114","Целларіус_Віктор_Михайлович","15711","","7909","20200504102219"
"115","Ценковський_Лев_Семенович","15719","","10190","20191013060308"
"116","Цесевич_Платон_Іванович","15853","","2479","20200403161415"
"117","Цехновіцер_Марко_Мойсейович","15855","","7307","20200415122022"
"118","Цись_Петро_Миколайович","15879","","6772","20181122173600"
"119","Цицалюк_Григорій_Никифорович","15882","","2351","20191101145645"
"120","Чекунов_Анатолій_Васильович","15972","","9249","20200406125705"
"121","Чепіга-Зеленкевич_Яків_Феофанович","15981","","34840","20200106171536"
"122","Червона_преса","15992","","1027","20200115200420"
"123","Червоний_шлях_(журнал)","16006","","7303","20200130055231"
"124","Червоні_Квіти_(журнал)","16008","","999","20190111113628"
"125","Червонюк_Євген_Іванович","16016","","5469","20190103195724"
"126","Черкашин_Роман_Олексійович","16037","","2677","20200215012210"
"127","Черкес_Олександр_Ілліч","16038","","9017","20200503144754"
"128","Чернай_Олександр_Вікентійович","16040","","4385","20190903072507"
"129","Чернець_Олексій_Пилипович","16046","","1063","20190914044458"
