name,total,min,max,median
"Щербина_Борис_Євдокимович",19562,2,1594,616.5
"Сковорода_Григорій_Савич",16460,180,970,465.0
"Лисенко_Микола_Віталійович",11261,73,790,302.0
"Тичина_Павло_Григорович",10793,64,712,285.0
"Харків",9849,165,585,298.0
"Микола_Хвильовий",9177,120,645,288.0
"Тютюнник_Григір_Михайлович",8202,36,711,210.5
MARUV,7745,129,559,224.5
"Довженко_Олександр_Петрович",7638,79,450,213.0
"Остап_Вишня",7466,55,513,230.0
"Мечников_Ілля_Ілліч",6860,48,508,183.5
"Гончар_Олесь_Терентійович",6519,43,466,168.5
"Іван_Багряний",5946,45,520,160.5
"Мина_Мазайло",5568,31,759,134.5
"Биков_Леонід_Федорович",5233,27,1239,73.5
"Аваков_Арсен_Борисович",5088,63,813,126.5
"Полторак_Степан_Тимофійович",4813,34,1253,76.5
"Жадан_Сергій_Вікторович",4809,61,237,150.0
"Ляшко_Олег_Валерійович",4599,56,542,100.5
"Іван_Сірко",4539,74,252,139.0
"Костомаров_Микола_Іванович",4160,63,282,122.0
"Квітка-Основ'яненко_Григорій_Федорович",3787,39,441,99.0
"Братство_тарасівців",3766,63,223,106.5
"Сосюра_Володимир_Миколайович",3721,40,263,103.5
"Яновський_Юрій_Іванович",3715,37,270,108.0
"Кропивницький_Марко_Лукич",3684,40,264,99.0
"Харківський_національний_університет_імені_В._Н._Каразіна",3660,43,219,103.0
"Грінченко_Борис_Дмитрович",3586,45,282,92.5
"Лесь_Курбас",3562,67,188,108.5
"Підмогильний_Валер'ян_Петрович",3476,26,244,105.5
"Кернес_Геннадій_Адольфович",3231,35,305,84.0
"Васильківський_Сергій_Іванович",3208,21,216,89.0
"Шелест_Петро_Юхимович",2971,40,226,81.0
"Демчина_Павло_Володимирович",2903,4,363,41.5
"Українська_народна_партія_(1902)",2864,16,221,73.5
"Яворницький_Дмитро_Іванович",2854,30,173,91.5
"Чикаленко_Євген_Харламович",2852,35,230,71.0
"Кива_Ілля_Володимирович",2837,23,257,68.0
"Харківська_державна_зооветеринарна_академія",2830,0,2717,3.0
"Шевчук_Станіслав_Володимирович",2796,6,816,27.0
"Рабінович_Вадим_Зіновійович",2413,38,142,65.5
"Бабкін_Сергій_Миколайович",2208,30,186,61.0
"Березіль",2111,24,184,61.0
"Рубін_Едуард_Юхимович",2110,0,537,27.0
"Мураєв_Євгеній_Володимирович",2107,20,118,68.5
"Юзеф_Пілсудський",2091,34,119,64.0
"Танасевич_Олена_Віталіївна",2049,2,551,20.5
"Сніжана_Бабкіна",1989,23,210,49.0
"Клочкова_Яна_Олександрівна",1892,17,120,57.5
"Екологічна_ситуація_в_Харкові",1830,5,136,48.0
"Володимир_Дантес",1790,23,162,48.5
"Ведель_Артем_Лук'янович",1779,17,123,45.0
"Алчевська_Христина_Данилівна",1765,3,127,56.0
"Пам'ятник_Тарасові_Шевченку_(Харків)",1760,8,178,38.0
"Історія_Харкова",1722,12,143,47.0
"Бекетов_Микола_Миколайович",1716,2,161,42.5
"Комаровський_Євген_Олегович",1692,24,119,46.0
"Т-64",1669,28,100,51.0
"Світоліна_Еліна_Михайлівна",1667,20,122,47.0
"Білецький_Андрій_Євгенійович",1639,33,116,45.5
"Хомутиннік_Віталій_Юрійович",1612,20,162,41.0
"Полонська-Василенко_Наталія_Дмитрівна",1569,3,137,45.0
"Онищенко_Олександр_Романович",1521,15,316,33.5
"Паламарчук_Микола_Петрович",1500,1,1071,8.5
"Райнін_Ігор_Львович",1469,5,358,20.0
"Всеукраїнський_з'їзд_рад_(Харків)",1456,19,73,46.5
"Кірш_Олександр_Вікторович",1455,7,136,37.0
"Михайль_Семенко",1418,15,88,42.0
"Перша_столиця_України",1379,23,72,40.0
"БТР-4",1370,26,98,39.5
"Харківський_метрополітен",1365,19,63,41.0
"Ложкін_Борис_Євгенович",1342,8,151,26.0
"Потебня_Олександр_Опанасович",1327,11,75,40.0
"Гулак-Артемовський_Петро_Петрович",1286,20,67,38.5
"Добкін_Михайло_Маркович",1258,19,63,37.5
"Дідік_Данило_Андрійович",1258,2,635,12.0
"Тютюнник_Григорій_Михайлович",1241,10,113,29.0
"Танок_на_майдані_Конґо",1179,21,75,36.0
"Мікац_Олег_Михайлович",1120,11,114,31.0
"Харківський_тракторний_завод",1101,14,68,36.5
"Світличний_Іван_Олексійович",1053,11,61,30.5
"Держпром",1043,12,71,29.0
"Шокін_Віктор_Миколайович",1034,5,133,25.5
"Поводир_(фільм,_2013)",1018,16,48,33.0
"Карасьов_Вадим_Юрійович",992,4,92,20.0
"Бажан_Микола_Платонович",976,11,48,30.0
"Німецька_окупація_Харкова",975,5,75,28.0
"Металіст_(Харків)",944,15,55,27.0
"Наливайченко_Валентин_Олександрович",943,9,79,26.5
"Палладін_Олександр_Володимирович",940,6,75,28.5
"Геращенко_Антон_Юрійович",938,9,75,26.0
"Курченко_Сергій_Віталійович",938,13,57,29.5
"Фукс_Павло_Якович",935,4,119,22.0
"Кірпа_Георгій_Миколайович",930,16,55,27.5
"Національний_юридичний_університет_імені_Ярослава_Мудрого",926,8,51,27.5
"Світлична_Юлія_Олександрівна",922,8,69,26.0
"Шахов_Сергій_Володимирович",891,10,80,24.5
"Мисливські_усмішки",884,3,82,23.0
"Список_вулиць_Харкова_(А)",883,1,54,33.0
"Другий_апеляційний_адміністративний_суд",877,4,57,30.5
"Німченко_Василь_Іванович",875,1,99,14.0
"Багалій_Дмитро_Іванович",871,4,58,27.0
"Металіст_1925",861,9,56,24.0
"Т-84У_«Оплот»",855,10,41,26.5
"Міщенко_Сергій_Григорович",853,2,339,9.0
"Черновецький_Леонід_Михайлович",852,11,54,26.5
"Хоткевич_Гнат_Мартинович",849,10,51,25.5
"Губерман_Ігор_Миронович",842,1,238,6.0
"Ситник_Артем_Сергійович",818,4,78,20.0
"Івашко_Володимир_Антонович",814,10,51,24.5
"Гвоздик_Олександр_Сергійович",807,10,60,22.5
"Степовий_Яків_Степанович",794,7,55,22.5
"Майк_Йогансен",792,11,64,21.5
"Остроградський_Михайло_Васильович",792,9,39,26.5
"Стець_Юрій_Ярославович",782,8,72,20.5
"Бондар_Віктор_Васильович",777,6,65,20.0
"Гапчинська_Євгенія_Геннадіївна",766,6,67,22.0
"Райони_Харкова",766,4,65,23.0
"Бойко_Віктор_Степанович",764,2,78,13.0
"Гурченко_Людмила_Марківна",751,8,55,21.0
"БТР-3",735,7,42,22.5
"Ададуров_Іван_Євграфович",730,0,77,14.0
"Франко_Петро_Іванович",729,7,67,21.0
"Антоненко-Давидович_Борис_Дмитрович",726,6,97,17.0
"Т-25_(трактор)",722,8,38,21.0
"Федецький_Артем_Андрійович",712,11,59,19.0
"Півоваренко_Павло_Васильович",712,4,128,11.5
"Ландау_Лев_Давидович",711,8,43,22.0
5'nizza,708,11,48,22.0
"Петренко_Михайло_Миколайович",707,6,51,19.5
"Населення_Харкова",706,2,91,17.5
"Рудницький_Степан_Львович",700,5,52,19.5
"Дар'я_Кобякова",697,9,42,21.0
"Іщенко_Микола_Анатолійович",696,0,377,4.0
"Бурмака_Марія_Вікторівна",695,5,64,16.0
"Національний_технічний_університет_«Харківський_політехнічний_інститут»",687,6,40,21.5
"Алемасова_Антоніна_Сергіївна",676,3,67,13.5
"Забіла_Наталя_Львівна",670,8,57,15.5
"Косинка_Григорій_Михайлович",668,2,43,20.0
"Вірський_Павло_Павлович",668,8,38,19.0
"Шевельов_Юрій_Володимирович",660,10,39,20.0
"Трублаїні_Микола_Петрович",654,6,57,19.0
"Алчевська_Христина_Олексіївна",649,3,70,15.5
"Червона_Яна_Михайлівна",647,3,157,12.0
"Голомша_Микола_Ярославович",644,9,31,19.5
"Сокуренко_Валерій_Васильович",629,5,54,16.0
"Кузьмін_Ренат_Равелійович",620,1,244,6.0
"Маркевич_Мирон_Богданович",616,8,43,19.0
"Кириченко_Раїса_Опанасівна",608,5,50,17.0
"Завод_імені_В._О._Малишева",608,10,45,17.0
"Маркевич_Ярослав_Володимирович",607,0,324,3.5
"Бекетов_Олексій_Миколайович",596,5,37,17.5
"Т-150К_(трактор)",592,6,40,18.5
"Парк_імені_Максима_Горького_(Харків)",587,7,33,17.5
"Пшонка_Віктор_Павлович",585,4,46,17.5
"Т-84-120_«Ятаган»",584,7,64,17.0
"Пам'ятники_Харкова",582,2,52,15.0
"Кузьмук_Олександр_Іванович",582,7,42,17.0
"Чичибабін_Борис_Олексійович",570,2,59,13.0
"Харківська_школа_романтиків",563,3,32,19.0
"Ляпунов_Олександр_Михайлович",563,1,57,13.5
