name,total,min,max,median
MARUV,22324,271,2324,525.5
"Довженко_Олександр_Петрович",19709,125,1408,527.5
"Тичина_Павло_Григорович",15585,82,1094,401.5
"Ляшко_Олег_Валерійович",15135,246,1538,348.5
"Білецький_Андрій_Євгенійович",14746,67,2268,293.0
"Іван_Сірко",11663,124,646,315.0
"Остап_Вишня",10002,63,1471,256.0
"Сковорода_Григорій_Савич",9592,125,481,293.5
"Микола_Хвильовий",8899,74,464,304.0
"Наливайченко_Валентин_Олександрович",8742,136,908,213.5
"Харків",8734,154,408,271.0
"Мураєв_Євгеній_Володимирович",6201,93,485,141.5
"Лисенко_Микола_Віталійович",6187,45,391,174.5
"Братство_тарасівців",6104,26,400,135.0
"Аваков_Арсен_Борисович",6017,65,498,159.0
"Гончар_Олесь_Терентійович",5146,43,369,167.0
"Бондар_Віктор_Васильович",5019,34,642,130.5
"Кива_Ілля_Володимирович",4934,77,485,111.0
"Тютюнник_Григір_Михайлович",4925,34,311,160.5
"Юзеф_Пілсудський",4652,41,300,117.0
"Квітка-Основ'яненко_Григорій_Федорович",4268,54,397,105.5
"Іван_Багряний",4100,43,231,119.5
"Лесь_Курбас",4024,43,248,128.5
"Кривенко_Віктор_Миколайович",3866,55,382,82.5
"Мина_Мазайло",3801,37,232,117.0
"Жадан_Сергій_Вікторович",3697,58,193,116.5
"Богословська_Інна_Германівна",3560,38,464,81.5
"Грінченко_Борис_Дмитрович",3211,39,155,99.0
"Костомаров_Микола_Іванович",3201,45,212,88.0
"Рабінович_Вадим_Зіновійович",3183,53,258,89.5
"Українська_народна_партія_(1902)",3176,20,243,90.0
"Клочкова_Яна_Олександрівна",3166,26,219,100.5
"Шелест_Петро_Юхимович",3129,18,230,78.0
"Підмогильний_Валер'ян_Петрович",3108,31,184,95.5
"Харківський_національний_університет_імені_В._Н._Каразіна",3050,38,387,68.0
"Бабкін_Сергій_Миколайович",2959,35,544,69.0
"Яновський_Юрій_Іванович",2930,22,162,93.5
"Сосюра_Володимир_Миколайович",2905,33,157,96.0
"Онищенко_Олександр_Романович",2886,22,269,74.0
"Сніжана_Бабкіна",2851,5,772,60.0
"Березіль",2816,15,472,76.0
"Пам'ятник_Тарасові_Шевченку_(Харків)",2732,19,158,74.0
"Комаровський_Євген_Олегович",2672,21,231,63.0
"Володимир_Дантес",2483,49,132,70.5
"Гвоздик_Олександр_Сергійович",2476,19,813,38.0
"Т-64",2276,43,111,69.0
"Мечников_Ілля_Ілліч",2241,23,115,68.5
"Світоліна_Еліна_Михайлівна",2203,23,171,59.5
"Кернес_Геннадій_Адольфович",2108,37,116,58.5
"БТР-4",2042,24,111,59.0
"Ромеро_Бонфим_Марлос",2039,14,456,31.5
"Косинка_Григорій_Михайлович",2012,10,460,29.5
"Полторак_Степан_Тимофійович",1972,33,85,58.0
"Остап_Вишня_(монета)",1909,0,695,6.0
"Чикаленко_Євген_Харламович",1891,18,156,50.0
"Биков_Леонід_Федорович",1825,28,96,56.0
"Васильківський_Сергій_Іванович",1790,11,160,49.5
"Кропивницький_Марко_Лукич",1778,24,88,56.0
"Перша_столиця_України",1767,21,176,40.0
"Яворницький_Дмитро_Іванович",1681,16,108,51.0
"Ситник_Артем_Сергійович",1614,8,178,35.0
"Харківський_метрополітен",1605,34,77,47.5
"Танок_на_майдані_Конґо",1526,25,112,41.0
"Історія_Харкова",1518,14,112,45.5
"Харківський_тракторний_завод",1507,23,84,46.0
"Поводир_(фільм,_2013)",1451,23,87,44.0
"Т-84У_«Оплот»",1431,26,82,43.5
"Добкін_Михайло_Маркович",1416,21,64,42.0
"Світличний_Іван_Олексійович",1411,8,95,36.5
"Корж_Віктор_Петрович",1395,2,724,9.5
"Михайль_Семенко",1353,10,99,37.0
"Всеукраїнський_з'їзд_рад_(Харків)",1310,13,105,37.5
"Тютюнник_Григорій_Михайлович",1300,9,96,31.5
"Ярославський_Олександр_Владиленович",1292,10,260,23.5
"Кірпа_Георгій_Миколайович",1243,20,74,36.0
"Німченко_Василь_Іванович",1233,1,197,19.0
"Металіст_1925",1206,9,125,32.0
"Гулак-Артемовський_Петро_Петрович",1199,14,79,35.0
"Курченко_Сергій_Віталійович",1169,16,102,31.5
"Бажан_Микола_Платонович",1152,12,105,32.0
"Трублаїні_Микола_Петрович",1148,5,96,32.0
"Ведель_Артем_Лук'янович",1146,11,72,31.5
"Геращенко_Антон_Юрійович",1100,8,170,25.0
"Хомутиннік_Віталій_Юрійович",1080,9,170,24.0
"Другий_апеляційний_адміністративний_суд",1074,1,74,37.0
"БТР-3",1065,13,84,32.5
"Черновецький_Леонід_Михайлович",1063,17,75,27.5
"Металіст_(Харків)",1043,14,59,31.5
"Т-80УД",1034,7,177,22.5
"Екологічна_ситуація_в_Харкові",1031,3,74,23.5
"Харківський_академічний_український_драматичний_театр_імені_Тараса_Шевченка",1021,2,246,10.0
"Федецький_Артем_Андрійович",1012,11,92,26.5
"Івашко_Володимир_Антонович",1012,17,59,28.0
"Копиленко_Олександр_Іванович",982,1,77,25.5
"Райони_Харкова",979,5,77,27.0
"Т-84-120_«Ятаган»",955,20,48,28.5
"Світлична_Юлія_Олександрівна",955,13,61,27.5
"Ложкін_Борис_Євгенович",948,9,90,23.0
"Список_вулиць_Харкова_(А)",939,2,64,35.0
"Марко_Девич",931,4,121,18.0
"Олійник_Володимир_Миколайович",916,11,119,20.0
"Ландау_Лев_Давидович",915,9,55,28.0
"Т-25_(трактор)",899,14,45,28.0
"Пам'ятники_Харкова",883,5,88,21.0
"Демчина_Павло_Володимирович",880,7,72,22.5
"Держпром",877,13,51,25.5
"Забіла_Наталя_Львівна",872,11,157,20.5
"Волобуєв_Михайло_Симонович",858,5,52,25.5
"Мисливські_усмішки",842,5,57,23.5
"Гурченко_Людмила_Марківна",832,12,96,21.0
"Харківський_національний_університет_повітряних_сил_імені_Івана_Кожедуба",823,12,44,26.5
"Карасьов_Вадим_Юрійович",819,7,72,19.0
"Харківське_державне_авіаційне_виробниче_підприємство",805,7,84,22.5
"Михайлюта_Олег_Ігорович",801,12,80,22.0
"Жаботинський_Леонід_Іванович",794,7,49,24.5
"Маркевич_Мирон_Богданович",787,9,42,23.5
"Національний_юридичний_університет_імені_Ярослава_Мудрого",785,11,51,23.5
"Завод_імені_В._О._Малишева",775,11,42,24.5
