name,total,min,max,median
MARUV,162767,57,19518,170.0
"Сковорода_Григорій_Савич",152616,66,2830,290.5
"Тичина_Павло_Григорович",113386,7,2038,204.5
"Довженко_Олександр_Петрович",112964,34,1408,216.5
"Харків",102057,123,837,258.5
"Микола_Хвильовий",101590,26,1688,216.0
"Остап_Вишня",86429,18,2216,151.0
"Щербина_Борис_Євдокимович",83027,0,4081,36.0
"Іван_Сірко",81991,46,1214,174.0
"Ляшко_Олег_Валерійович",66335,23,1538,124.5
"Іван_Багряний",61359,16,1208,116.0
"Мина_Мазайло",60486,9,1832,78.0
"Лисенко_Микола_Віталійович",59371,13,790,143.0
"Тютюнник_Григір_Михайлович",56647,9,1037,78.5
"Сосюра_Володимир_Миколайович",56192,12,1572,97.0
"Мураєв_Євгеній_Володимирович",55361,8,1652,71.5
"Яновський_Юрій_Іванович",53693,9,1297,81.5
"Підмогильний_Валер'ян_Петрович",50027,6,1306,84.5
"Квітка-Основ'яненко_Григорій_Федорович",49832,15,1235,84.5
"Гончар_Олесь_Терентійович",49825,15,893,96.5
"Аваков_Арсен_Борисович",49125,37,1556,96.0
"Кива_Ілля_Володимирович",48069,17,2489,92.5
"Білецький_Андрій_Євгенійович",46325,16,2268,75.5
"Грінченко_Борис_Дмитрович",45657,10,1005,97.5
"Жадан_Сергій_Вікторович",42915,43,426,109.0
"Костомаров_Микола_Іванович",40616,11,489,93.0
"Братство_тарасівців",37292,0,540,65.5
"Шелест_Петро_Юхимович",36745,5,577,60.0
"Рабінович_Вадим_Зіновійович",36659,16,1724,73.5
"Лесь_Курбас",33739,11,477,77.0
"Онищенко_Олександр_Романович",32973,7,1189,46.0
"Юзеф_Пілсудський",32566,12,382,63.5
"Михайль_Семенко",32408,0,1923,39.0
"Харківський_національний_університет_імені_В._Н._Каразіна",32316,16,387,71.0
"Мечников_Ілля_Ілліч",31124,8,508,68.0
"Наливайченко_Валентин_Олександрович",30493,5,1009,32.0
"Бабкін_Сергій_Миколайович",28527,22,884,58.5
"Світоліна_Еліна_Михайлівна",28415,10,738,52.0
"Володимир_Дантес",26639,18,328,61.0
"Кропивницький_Марко_Лукич",26303,14,519,56.0
"Гулак-Артемовський_Петро_Петрович",25199,2,1088,35.0
"Кернес_Геннадій_Адольфович",24662,21,305,53.0
"Биков_Леонід_Федорович",22744,12,1239,45.0
"Клочкова_Яна_Олександрівна",22221,6,229,50.0
"Пам'ятник_Тарасові_Шевченку_(Харків)",22076,1,440,38.0
"Т-64",21951,25,425,54.0
"Полторак_Степан_Тимофійович",21323,7,1253,45.0
"Березіль",20805,0,472,40.0
"Сніжана_Бабкіна",20557,2,772,41.0
"Комаровський_Євген_Олегович",20364,5,2731,29.0
"Гвоздик_Олександр_Сергійович",20052,10,1843,30.0
"Українська_народна_партія_(1902)",19789,1,338,39.0
"Хомутиннік_Віталій_Юрійович",18013,7,1477,30.0
"Чикаленко_Євген_Харламович",17924,2,1238,38.0
"Яворницький_Дмитро_Іванович",17718,7,183,42.0
"БТР-4",17354,14,299,42.0
"Харківський_метрополітен",17323,19,114,45.0
"Всеукраїнський_з'їзд_рад_(Харків)",17238,0,302,30.0
"Танок_на_майдані_Конґо",17072,15,211,40.0
"Добкін_Михайло_Маркович",16255,11,294,41.0
"Історія_Харкова",15643,3,150,36.0
"Рудницький_Степан_Львович",15609,0,1300,13.0
"Дідік_Данило_Андрійович",15462,1,1105,19.0
"Світличний_Іван_Олексійович",15243,0,273,31.0
"Перша_столиця_України",15009,14,176,38.0
"Бондар_Віктор_Васильович",14961,3,642,20.5
"Богословська_Інна_Германівна",14659,1,464,14.0
