name,total,min,max,median
"Довженко_Олександр_Петрович",15506,46,1258,406.5
"Іван_Багряний",14383,25,1208,392.5
"Ляшко_Олег_Валерійович",11653,222,930,282.0
"Гулак-Артемовський_Петро_Петрович",9783,5,1088,218.0
MARUV,9568,104,1014,208.0
"Мураєв_Євгеній_Володимирович",9321,153,476,296.5
"Наливайченко_Валентин_Олександрович",8233,116,1009,223.0
"Тютюнник_Григір_Михайлович",7556,19,737,186.0
"Сковорода_Григорій_Савич",7422,127,331,222.0
"Харків",7134,149,314,219.0
"Іван_Сірко",7043,91,397,226.5
"Квітка-Основ'яненко_Григорій_Федорович",6132,51,599,177.0
"Тичина_Павло_Григорович",5657,42,416,143.5
"Костомаров_Микола_Іванович",4703,26,489,114.5
"Братство_тарасівців",4698,19,385,121.0
"Юзеф_Пілсудський",4603,42,326,140.0
"Білецький_Андрій_Євгенійович",4358,83,288,122.5
"Світоліна_Еліна_Михайлівна",4325,36,510,99.5
"Микола_Хвильовий",4319,45,244,116.5
"Шелест_Петро_Юхимович",4174,17,312,118.5
"Іваненко_Дмитро_Дмитрович",3924,0,679,54.0
"Лисенко_Микола_Віталійович",3885,51,262,102.0
"Гурченко_Людмила_Марківна",3783,21,752,43.5
"Богословська_Інна_Германівна",3737,49,297,104.5
"Кива_Ілля_Володимирович",3719,47,243,94.0
"Грінченко_Борис_Дмитрович",3582,23,223,119.0
"Сосюра_Володимир_Миколайович",3413,39,209,103.0
"Остап_Вишня",3348,25,196,100.5
"Рабінович_Вадим_Зіновійович",3305,45,267,93.5
"Петренко_Михайло_Миколайович",3248,5,366,75.0
"Володимир_Дантес",3193,41,225,90.0
"Жадан_Сергій_Вікторович",3093,50,147,88.0
"Харківський_національний_університет_імені_В._Н._Каразіна",2743,27,217,75.0
"Гончар_Олесь_Терентійович",2727,20,166,85.0
"Кривенко_Віктор_Миколайович",2652,9,654,40.0
"Аваков_Арсен_Борисович",2572,54,133,81.0
"Лесь_Курбас",2268,16,123,69.0
"Бабкін_Сергій_Миколайович",2206,35,200,62.5
"Мина_Мазайло",2079,19,120,64.0
"Т-64",2066,43,88,65.5
"Кропивницький_Марко_Лукич",2014,16,102,58.0
"Фукс_Павло_Якович",2011,2,492,33.5
"Пам'ятник_Тарасові_Шевченку_(Харків)",1942,5,172,47.0
"Харківська_школа_романтиків",1855,1,188,44.5
"Полторак_Степан_Тимофійович",1841,25,109,54.5
"Хомутиннік_Віталій_Юрійович",1827,24,114,49.5
"Клочкова_Яна_Олександрівна",1805,9,176,45.5
"Мечников_Ілля_Ілліч",1789,22,109,49.5
"Биков_Леонід_Федорович",1774,24,101,53.5
"БТР-4",1733,29,142,51.0
"Маркевич_Мирон_Богданович",1686,5,234,24.0
"Кернес_Геннадій_Адольфович",1636,30,105,51.0
"Харківський_метрополітен",1631,31,77,49.5
"Підмогильний_Валер'ян_Петрович",1607,18,94,50.0
"Іваненко_Оксана_Дмитрівна",1546,3,136,34.0
"Ландау_Лев_Давидович",1541,9,316,27.5
"Добкін_Михайло_Маркович",1485,30,87,44.5
"Онищенко_Олександр_Романович",1445,28,77,44.0
"Павелко_Андрій_Васильович",1379,5,168,32.0
"Перша_столиця_України",1375,21,121,40.0
"Остроградський_Михайло_Васильович",1356,6,99,50.0
"Танок_на_майдані_Конґо",1339,22,64,40.0
"Боровиковський_Левко_Іванович",1326,2,208,25.5
"Поводир_(фільм,_2013)",1320,27,91,38.5
"Курченко_Сергій_Віталійович",1317,28,62,40.0
"Кірпа_Георгій_Миколайович",1270,18,82,33.5
"Яновський_Юрій_Іванович",1268,9,87,35.5
"Комаровський_Євген_Олегович",1244,16,150,34.0
"Світлична_Юлія_Олександрівна",1208,16,77,32.0
"Т-84У_«Оплот»",1174,26,52,35.0
"Яворницький_Дмитро_Іванович",1133,9,63,34.0
"Харківський_тракторний_завод",1118,17,69,33.0
"Гвоздик_Олександр_Сергійович",1107,19,65,32.0
"Хоткевич_Гнат_Мартинович",1105,9,94,27.5
"Чубарева_Ольга_Олексіївна",1099,0,205,16.5
"Березіль",1095,5,68,31.5
"Тютюнник_Григорій_Михайлович",1091,3,93,28.0
"Чикаленко_Євген_Харламович",1091,7,108,31.0
"Метлинський_Амвросій_Лук'янович",1076,0,152,20.0
"Михайль_Семенко",1073,8,83,27.0
"Васильківський_Сергій_Іванович",1068,10,55,31.0
"Світличний_Іван_Олексійович",1059,3,88,30.5
"Аласанія_Зурабі_Григорович",1051,2,538,8.0
"Т-25_(трактор)",1040,18,63,31.0
"Забіла_Наталя_Львівна",1039,6,80,28.0
"Кекелія_Віра_Варламівна",993,12,102,29.0
"Другий_апеляційний_адміністративний_суд",957,2,70,30.0
"Всеукраїнський_з'їзд_рад_(Харків)",947,3,60,28.0
"Список_вулиць_Харкова_(А)",946,2,71,33.5
"Черновецький_Леонід_Михайлович",943,14,48,30.0
"Кнорозов_Юрій_Валентинович",941,9,71,25.0
"Карасьов_Вадим_Юрійович",910,8,89,17.5
"Історія_Харкова",904,6,75,25.0
"Гапчинська_Євгенія_Геннадіївна",879,7,71,21.0
"Т-84-120_«Ятаган»",837,13,44,26.0
"Мікац_Олег_Михайлович",817,7,66,22.0
"Бондар_Віктор_Васильович",812,5,205,13.0
5'nizza,807,12,49,24.0
"Жаботинський_Леонід_Іванович",803,2,191,16.0
"Деркач_Борис_Юрійович",800,2,191,10.0
"Українська_народна_партія_(1902)",792,3,54,21.5
"БТР-3",786,15,39,23.0
"Дар'я_Кобякова",775,7,56,22.5
"Кузьмук_Олександр_Іванович",772,6,104,20.5
"Бажан_Микола_Платонович",768,6,45,21.5
"Металіст_(Харків)",766,6,44,22.5
"Козловський_Іван_Семенович",754,5,75,19.5
"Михайлюта_Олег_Ігорович",750,12,72,21.0
"Національний_юридичний_університет_імені_Ярослава_Мудрого",748,10,40,24.5
"Кириченко_Раїса_Опанасівна",745,8,102,21.0
"Косинка_Григорій_Михайлович",713,6,41,21.0
"Райони_Харкова",705,1,47,22.5
"Мамалуй_Олександр_Олексійович",701,1,218,7.0
"Т-150К_(трактор)",694,9,37,22.5
"Федецький_Артем_Андрійович",692,7,74,20.0
"Держпром",681,8,41,20.5
"Ромеро_Бонфим_Марлос",680,7,34,20.0
"Міжнародний_аеропорт_«Харків»",679,9,115,18.5
"Бурмака_Марія_Вікторівна",678,10,52,18.5
"Стець_Юрій_Ярославович",666,8,40,18.5
"Пшонка_Віктор_Павлович",661,7,65,18.5
"Металіст_1925",647,8,52,18.5
"Ложкін_Борис_Євгенович",643,8,40,18.0
"Т-80УД",631,8,30,20.5
"Добкін_Дмитро_Маркович",629,1,171,9.5
"Кушнарьов_Євген_Петрович",629,8,48,16.5
"Ведель_Артем_Лук'янович",626,2,33,21.5
"Франко_Петро_Іванович",608,8,33,17.5
"Потебня_Олександр_Опанасович",606,5,44,17.5
"Завод_імені_В._О._Малишева",605,10,29,19.0
"Вовчанчин_Ігор_Ярославович",596,8,40,17.5
"Срезневський_Ізмаїл_Іванович",595,3,56,16.0
"Білецький_Володимир_Стефанович",595,5,85,13.5
"Івашко_Володимир_Антонович",594,10,37,17.5
"Бойко_Лариса_Терентіївна",593,0,139,30.0
"Ярославський_Олександр_Владиленович",587,6,34,17.0
"Райнін_Ігор_Львович",571,4,72,14.0
"Голомша_Микола_Ярославович",570,8,44,16.0
"Хвиля_Олександр_Леопольдович",565,1,98,8.5
