name,total,min,max,median
"Харків",6847,159,469,203.0
MARUV,6111,102,568,154.0
"Аваков_Арсен_Борисович",5851,39,1556,71.0
"Онищенко_Олександр_Романович",5019,16,1095,56.0
"Іван_Сірко",4357,71,290,113.0
"Хомутиннік_Віталій_Юрійович",4307,15,1477,28.5
"Сковорода_Григорій_Савич",3449,75,142,104.0
"Богатирьова_Раїса_Василівна",3334,3,1346,15.0
"Жадан_Сергій_Вікторович",3253,43,393,93.0
"Рабінович_Вадим_Зіновійович",3144,23,446,67.0
"Дідік_Данило_Андрійович",3056,13,414,44.0
"Петренко_Олег_Миколайович",2774,1,1014,7.5
"Кива_Ілля_Володимирович",2365,17,527,38.0
"Ляшко_Олег_Валерійович",2358,39,150,63.0
"Щербина_Борис_Євдокимович",2297,35,125,73.5
"Т-64",2143,38,315,52.5
"Полторак_Степан_Тимофійович",2002,25,369,44.0
"Довженко_Олександр_Петрович",1950,34,94,57.0
"Світоліна_Еліна_Михайлівна",1912,19,158,49.0
"Венедіктова_Ірина_Валентинівна",1838,11,322,27.5
"Голомша_Микола_Ярославович",1704,5,637,20.5
"Соболь_Едуард_Олександрович",1682,2,490,18.5
"Бабкін_Сергій_Миколайович",1678,25,197,43.5
"Маркевич_Мирон_Богданович",1678,18,145,41.0
"Мезенцева_Марія_Сергіївна",1660,5,336,23.0
"Рахманін_Сергій_Іванович",1659,4,723,15.0
"Володимир_Дантес",1592,19,118,45.5
"Танок_на_майдані_Конґо",1552,18,113,43.0
"Лубінець_Дмитро_Валерійович",1527,4,363,15.0
"Кернес_Геннадій_Адольфович",1465,21,82,43.5
"Деркач_Борис_Юрійович",1437,26,86,40.0
"Микола_Хвильовий",1425,27,62,46.0
"Богуслаєв_Вячеслав_Олександрович",1418,3,270,21.0
"Сніжана_Бабкіна",1397,22,113,39.5
"Гвоздик_Олександр_Сергійович",1387,14,198,34.5
"Гурченко_Людмила_Марківна",1333,15,273,30.0
"Харківський_метрополітен",1301,27,114,38.0
"БТР-4",1236,14,63,39.0
"Кучер_Олександр_Миколайович",1230,1,375,21.0
"Тичина_Павло_Григорович",1225,23,60,37.0
"Іван_Багряний",1216,19,102,37.0
"Харківський_національний_університет_імені_В._Н._Каразіна",1200,16,63,35.5
"Юзеф_Пілсудський",1170,18,89,33.0
"Мураєв_Євгеній_Володимирович",1160,14,68,34.0
"Куницький_Олександр_Олегович",1125,8,149,23.0
"Кулешов_Микола_Валерійович",1103,1,480,5.0
"Остап_Вишня",1087,18,62,32.0
"Биков_Леонід_Федорович",1080,16,61,29.5
"Лесь_Курбас",1055,11,58,31.5
"Металіст_1925",1053,11,75,27.5
"Кацуба_Олександр_Володимирович",1052,2,166,9.0
"Металіст_(Харків)",1051,16,49,31.0
"Пелипенко_Ганна",1022,1,350,9.0
"Гончар_Олесь_Терентійович",1014,17,48,30.0
"Сосюра_Володимир_Миколайович",998,17,84,29.0
"Білецький_Андрій_Євгенійович",995,16,105,27.5
"Совсун_Інна_Романівна",992,4,269,17.5
"Лисенко_Микола_Віталійович",988,13,54,30.0
"Яновський_Юрій_Іванович",986,14,104,29.0
"Добкін_Михайло_Маркович",984,12,82,28.0
"Квітка-Основ'яненко_Григорій_Федорович",956,15,82,25.5
"Яворницький_Дмитро_Іванович",946,16,86,25.5
"Наливайченко_Валентин_Олександрович",913,6,193,17.5
"Півоваренко_Павло_Васильович",899,8,194,17.0
"Черновецький_Леонід_Михайлович",893,12,53,27.5
"Дозор-Б",878,5,239,15.0
"Другий_апеляційний_адміністративний_суд",872,4,59,31.0
"Грінченко_Борис_Дмитрович",867,13,56,26.0
"Бондар_Віктор_Васильович",853,3,364,9.0
"Т-84У_«Оплот»",849,15,49,26.5
"Поводир_(фільм,_2013)",847,8,40,26.0
"Заріцька_Олександра_Сергіївна",840,11,90,22.5
"Тайсон_Барселлос_Фреда",835,3,91,19.0
"Т-25_(трактор)",833,15,42,27.0
"Бушуєв_Костянтин_Володимирович",830,1,360,6.5
"Підмогильний_Валер'ян_Петрович",826,12,69,23.0
"Мина_Мазайло",818,9,48,24.5
"Ромеро_Бонфим_Марлос",818,10,153,17.5
5'nizza,816,7,65,23.0
"Перша_столиця_України",813,14,44,23.5
"Кірпа_Георгій_Миколайович",803,14,38,24.5
