name,total,min,max,median
"Мураєв_Євгеній_Володимирович",15421,38,1652,403.0
"Рабінович_Вадим_Зіновійович",9347,45,1724,186.0
"Ляшко_Олег_Валерійович",8356,101,710,234.5
"Харків",6653,166,252,207.5
MARUV,5289,105,307,159.5
"Щербина_Борис_Євдокимович",5022,75,307,149.0
"Світоліна_Еліна_Михайлівна",4311,23,738,72.5
"Білецький_Андрій_Євгенійович",3792,24,455,115.5
"Кернес_Геннадій_Адольфович",3537,51,219,105.0
"Сковорода_Григорій_Савич",3306,75,135,100.5
"Жадан_Сергій_Вікторович",3186,63,152,101.0
"Голомша_Микола_Ярославович",3159,17,587,75.0
"Аваков_Арсен_Борисович",3126,46,192,92.5
"Кива_Ілля_Володимирович",3048,37,243,82.0
"Мусіяка_Віктор_Лаврентійович",2968,0,1794,6.5
"Іван_Сірко",2643,46,240,73.5
"Хомутиннік_Віталій_Юрійович",2621,28,203,64.5
"Венедіктова_Ірина_Валентинівна",2550,13,422,38.5
"Богуслаєв_Вячеслав_Олександрович",2525,14,554,30.5
"Федецький_Артем_Андрійович",2427,19,134,68.5
"Кириленко_Павло_Олександрович",2369,14,447,40.5
"Полторак_Степан_Тимофійович",2232,26,535,45.5
"Бабкін_Сергій_Миколайович",2214,36,147,65.0
"Сніжана_Бабкіна",2104,23,161,54.0
"Денисенко_Анатолій_Петрович",2031,3,222,48.0
"Лунченко_Валерій_Валерійович",2008,8,403,47.5
"Добкін_Михайло_Маркович",2000,29,191,54.5
"Шаповалов_Юрій_Анатолійович",1980,11,622,32.0
"Володимир_Дантес",1876,31,121,56.0
"Довженко_Олександр_Петрович",1795,36,84,54.0
"Харківський_національний_університет_імені_В._Н._Каразіна",1779,31,100,55.5
"Онищенко_Олександр_Романович",1617,17,199,34.5
"Гвоздик_Олександр_Сергійович",1614,17,224,35.0
"Рахманін_Сергій_Іванович",1575,19,142,40.5
"Кацуба_Олександр_Володимирович",1550,4,230,27.0
"Микола_Хвильовий",1500,29,75,45.5
"Писаренко_Валерій_Володимирович",1475,7,142,44.0
"Шенцев_Дмитро_Олексійович",1465,5,437,21.0
"Т-64",1407,30,73,40.0
"Шахов_Сергій_Володимирович",1389,8,194,25.5
"Національний_юридичний_університет_імені_Ярослава_Мудрого",1374,26,119,41.0
"Черновецький_Леонід_Михайлович",1372,21,124,38.5
"БТР-4",1312,22,67,40.5
"Наливайченко_Валентин_Олександрович",1302,14,88,36.0
"Тичина_Павло_Григорович",1252,7,70,38.0
