name,total,min,max,median
"Тичина_Павло_Григорович",27548,44,2038,791.0
"Михайль_Семенко",16942,19,1923,314.0
"Іван_Сірко",13092,104,1214,322.0
"Рудницький_Степан_Львович",9642,9,1300,138.0
"Микола_Хвильовий",9318,41,569,316.0
"Сковорода_Григорій_Савич",9261,136,537,271.0
"Харків",8464,173,361,277.0
"Довженко_Олександр_Петрович",7762,52,983,219.0
MARUV,6282,80,598,152.0
"Лисенко_Микола_Віталійович",5287,45,593,151.0
"Мечников_Ілля_Ілліч",4956,29,426,120.0
"Онищенко_Олександр_Романович",4628,31,1095,77.0
"Сосюра_Володимир_Миколайович",4395,30,365,120.0
"Світоліна_Еліна_Михайлівна",4376,43,519,91.0
"Остап_Вишня",4304,24,255,150.0
"Грінченко_Борис_Дмитрович",4142,25,261,134.0
"Рахманін_Сергій_Іванович",4125,14,665,93.0
"Аваков_Арсен_Борисович",4109,49,332,117.0
"Свідзінський_Володимир_Євтимович",4080,4,648,24.0
"Жадан_Сергій_Вікторович",3831,69,226,119.0
"Яновський_Юрій_Іванович",3680,26,235,118.0
"Костомаров_Микола_Іванович",3310,16,323,75.0
"Іван_Багряний",3086,24,174,115.0
"Підмогильний_Валер'ян_Петрович",3064,23,182,102.0
"Потебня_Олександр_Опанасович",2959,5,298,63.0
"Гончар_Олесь_Терентійович",2620,33,169,91.0
"Рабінович_Вадим_Зіновійович",2449,26,239,55.0
"Шокін_Віктор_Миколайович",2441,6,613,30.0
"Ромеро_Бонфим_Марлос",2181,15,601,34.0
"Пильчиков_Микола_Дмитрович",2124,5,185,63.0
"Палладін_Олександр_Володимирович",2114,4,186,59.0
"Харківський_національний_університет_імені_В._Н._Каразіна",2098,31,141,65.0
"Світличний_Іван_Олексійович",2091,17,273,52.0
"Клочкова_Яна_Олександрівна",2016,25,143,62.0
"Квітка-Основ'яненко_Григорій_Федорович",1980,26,126,64.0
"Мина_Мазайло",1975,16,123,60.0
"Лесь_Курбас",1921,30,140,57.0
"Кива_Ілля_Володимирович",1890,20,147,49.0
"Кропивницький_Марко_Лукич",1847,25,118,53.0
"Ландау_Лев_Давидович",1822,15,101,61.0
"Танасевич_Олена_Віталіївна",1819,5,808,23.0
"Дідік_Данило_Андрійович",1814,10,189,48.0
"Історія_Харкова",1796,18,127,60.0
"Поводир_(фільм,_2013)",1736,22,155,51.0
"Майк_Йогансен",1703,4,257,26.0
"Ляшко_Олег_Валерійович",1661,28,132,47.0
"Висоцький_Георгій_Миколайович",1634,1,277,20.0
"Т-64",1519,28,77,48.0
"Геращенко_Антон_Юрійович",1501,11,434,31.0
"Юзеф_Пілсудський",1498,20,89,44.0
"Щербина_Борис_Євдокимович",1482,21,86,45.0
"Бажан_Микола_Платонович",1471,12,123,40.0
"Куницький_Олександр_Олегович",1467,18,162,42.0
"Авангард_(літературна_група)",1422,0,173,20.0
"Гвоздик_Олександр_Сергійович",1419,20,141,35.0
"Українська_народна_партія_(1902)",1418,9,86,51.0
"Харківський_метрополітен",1411,25,77,41.0
"Шевельов_Юрій_Володимирович",1409,10,124,35.0
"Яворницький_Дмитро_Іванович",1380,25,77,44.0
"Тайсон_Барселлос_Фреда",1372,8,182,27.0
"Поліщук_Валер'ян_Львович",1340,1,269,22.0
"Кернес_Геннадій_Адольфович",1324,25,65,41.0
"Бабкін_Сергій_Миколайович",1296,26,71,38.0
"Танок_на_майдані_Конґо",1296,16,84,37.0
"Сніжана_Бабкіна",1241,19,83,33.0
"Чикаленко_Євген_Харламович",1241,13,78,39.0
"Тютюнник_Григір_Михайлович",1237,16,109,35.0
"Остроградський_Михайло_Васильович",1237,8,126,35.0
"Демчина_Павло_Володимирович",1219,1,684,8.0
"Веніславський_Федір_Володимирович",1208,1,543,12.0
"Білецький_Андрій_Євгенійович",1204,20,111,34.0
"Плотницький_Олег_Юрійович",1177,2,250,22.0
"Чечетов_Михайло_Васильович",1161,7,98,27.0
"Нова_ґенерація",1155,2,161,15.0
"Богатирьова_Раїса_Василівна",1150,6,141,22.0
"Перша_столиця_України",1146,19,97,32.0
"Пелипенко_Ганна",1119,7,127,23.0
"Наливайченко_Валентин_Олександрович",1087,11,145,29.0
"Тесленко_Данило_Ігорович",1064,8,150,21.0
"Венедіктова_Ірина_Валентинівна",1055,5,286,22.0
"Євдокимов_Валерій_Олександрович",1045,0,832,4.0
"Тупицький_Олександр_Миколайович",1042,0,405,7.0
"Металіст_(Харків)",1042,16,85,31.0
"Світлична_Юлія_Олександрівна",1036,10,104,27.0
"Биков_Леонід_Федорович",1020,20,54,31.0
"Гурченко_Людмила_Марківна",1011,17,104,26.0
"Сільченко_Катерина_Леонідівна",1006,5,150,19.0
"Хоткевич_Гнат_Мартинович",999,14,115,29.0
"Національний_юридичний_університет_імені_Ярослава_Мудрого",992,14,64,30.0
"Володимир_Дантес",988,18,63,30.0
"Т-25_(трактор)",986,17,48,30.0
"Черновецький_Леонід_Михайлович",986,12,100,27.0
"Кучер_Олексій_Володимирович",985,3,221,12.0
"Лубінець_Дмитро_Валерійович",970,4,155,22.0
"БТР-4",963,19,62,30.0
"Металіст_(стадіон)",953,10,143,27.0
"Франко_Петро_Іванович",952,10,86,28.0
"Маркевич_Мирон_Богданович",942,6,63,29.0
"Полторак_Степан_Тимофійович",940,12,89,24.0
"Третьякова_Галина_Миколаївна",938,3,105,25.0
"Список_вулиць_Харкова_(А)",929,2,68,35.0
"Кірпа_Георгій_Миколайович",922,15,101,25.0
"Хомутиннік_Віталій_Юрійович",913,16,66,26.0
"Совсун_Інна_Романівна",905,8,104,22.0
"Кальченко_Сергій_Віталійович",886,1,375,10.0
"Шубников_Лев_Васильович",886,1,90,20.0
"Шелест_Петро_Юхимович",881,5,67,28.0
"Братство_тарасівців",874,8,73,26.0
"Вернадський_Іван_Васильович",868,2,105,24.0
"Шаповалов_Юрій_Анатолійович",857,0,500,9.0
"Металіст_1925",857,12,42,27.0
"Литвак_Олег_Михайлович",856,1,469,6.0
"Німецька_окупація_Харкова",842,4,54,22.0
"Пам'ятник_Тарасові_Шевченку_(Харків)",837,7,85,18.0
"Гулак-Артемовський_Петро_Петрович",824,6,43,24.0
"Жадан_і_Собаки",823,11,62,24.0
"Яровий_Сергій_Анатолійович",809,2,431,9.0
"Харківський_тракторний_завод",798,10,47,25.0
"Другий_апеляційний_адміністративний_суд",782,2,56,27.0
"Бондар_Віктор_Васильович",766,7,102,20.0
"Краснов_Андрій_Миколайович",762,0,108,8.5
"Добкін_Михайло_Маркович",747,11,44,22.0
"Бєлоусов_Євген_Вікторович",747,10,76,18.0
"Гнєзділов_Ігор_Євгенович",742,2,89,15.0
"Антоненко-Давидович_Борис_Дмитрович",739,2,63,24.0
"Мураєв_Євгеній_Володимирович",724,8,46,20.0
"Т-150К_(трактор)",719,9,39,23.0
"Багалій_Дмитро_Іванович",718,6,49,20.0
"Алехандро_Гомес",717,0,371,7.0
"Кузьмін_Ренат_Равелійович",710,3,117,15.0
"Березіль",709,0,65,20.0
"Погребняк_Петро_Степанович",708,1,117,10.0
"Заріцька_Олександра_Сергіївна",704,7,49,20.0
"Курченко_Сергій_Віталійович",702,8,69,20.0
"Держпром",696,9,63,20.0
"Худжамов_Рустам_Махмудкулович",693,0,189,8.0
"Михайлюта_Олег_Ігорович",685,4,86,14.0
"Деркач_Борис_Юрійович",678,0,42,26.0
"Райони_Харкова",676,6,43,21.0
"Шахов_Сергій_Володимирович",675,3,85,16.0
"Косинка_Григорій_Михайлович",669,2,54,18.0
"Болбат_Сергій_Сергійович",667,0,293,6.5
"Олійник_Денис_Вікторович",666,1,125,12.0
"Срезневський_Ізмаїл_Іванович",663,1,76,16.0
"Ужвій_Наталія_Михайлівна",663,3,105,18.0
"Національний_заслужений_академічний_український_народний_хор_України_імені_Григорія_Верьовки",656,8,86,17.0
"Сенченко_Іван_Юхимович",650,1,102,10.0
"Т-84У_«Оплот»",618,10,32,20.0
"Комаровський_Євген_Олегович",609,5,33,20.0
"Ведель_Артем_Лук'янович",609,1,49,16.0
"Пшонка_Віктор_Павлович",606,6,51,19.0
"Папа_Гує",602,1,155,11.0
"Національний_технічний_університет_«Харківський_політехнічний_інститут»",599,8,47,19.0
"Німченко_Василь_Іванович",596,4,160,10.0
"БТР-3",594,7,31,18.0
"Федецький_Артем_Андрійович",593,8,60,17.0
"Дар'я_Кобякова",593,9,32,19.0
"Ситник_Артем_Сергійович",592,4,90,16.0
"Васильківський_Сергій_Іванович",586,4,43,19.0
"Люди,_пов'язані_з_Харковом",583,4,55,15.0
"Ракло",579,6,82,14.0
"Богуслаєв_Вячеслав_Олександрович",578,4,65,11.0
"Мисливські_усмішки",573,3,39,20.0
"Сидоренко_Олександр_Аркадійович",573,6,47,16.0
"Бурмака_Марія_Вікторівна",569,7,122,16.0
"Туган-Барановський_Михайло_Іванович",560,1,39,16.0
"Нікольченко_Влада_Ігорівна",552,1,119,6.0
"Голомша_Микола_Ярославович",548,5,41,17.0
"Білий_Максим_Іванович",543,1,290,4.0
"Ложкін_Борис_Євгенович",540,6,31,16.0
"Кириченко_Раїса_Опанасівна",530,7,30,16.0
"Місюра_Вадим_Ярославович",529,3,47,15.0
"Кекелія_Віра_Варламівна",528,3,93,11.0
"Ярославський_Олександр_Владиленович",521,4,31,15.0
"Пліс_Геннадій_Володимирович",519,1,102,10.0
"Юнацька_спілка",518,0,61,13.0
"Слово_(будинок)",517,6,28,17.0
"Фельдман_Олександр_Борисович",514,7,33,15.0
"Мікац_Олег_Михайлович",513,5,29,15.0
"Харківський_національний_економічний_університет_імені_Семена_Кузнеця",511,6,31,16.0
"Національний_університет_цивільного_захисту_України",495,3,43,15.0
