name,total,min,max,median
MARUV,83611,250,19518,885.0
"Довженко_Олександр_Петрович",22644,255,1189,831.0
"Іван_Сірко",12672,176,781,454.0
"Мураєв_Євгеній_Володимирович",10584,170,727,351.0
"Тичина_Павло_Григорович",9228,115,565,293.0
"Іван_Багряний",8813,78,665,270.0
"Братство_тарасівців",8771,82,540,330.0
"Сковорода_Григорій_Савич",8545,191,529,287.0
"Ляшко_Олег_Валерійович",8222,213,369,289.0
"Харків",8084,192,375,272.0
"Микола_Хвильовий",8072,97,423,283.0
"Юзеф_Пілсудський",6501,75,382,225.0
"Остап_Вишня",6129,68,524,180.0
"Лисенко_Микола_Віталійович",5439,93,264,200.0
"Кива_Ілля_Володимирович",5278,84,632,141.0
"Шелест_Петро_Юхимович",5215,36,300,189.0
"Наливайченко_Валентин_Олександрович",5049,127,297,168.0
"Аваков_Арсен_Борисович",4255,79,317,135.0
"Квітка-Основ'яненко_Григорій_Федорович",3876,66,233,135.0
"Лесь_Курбас",3874,41,461,113.0
"Грінченко_Борис_Дмитрович",3871,52,224,128.0
"Гончар_Олесь_Терентійович",3696,49,222,115.0
"Тютюнник_Григір_Михайлович",3524,49,206,129.0
"Харківська_школа_романтиків",3458,6,294,126.0
"Клочкова_Яна_Олександрівна",3348,41,229,119.0
"Сосюра_Володимир_Миколайович",3150,64,150,101.0
"Т-64",3054,50,425,90.0
"Костомаров_Микола_Іванович",3041,51,153,111.0
"Жадан_Сергій_Вікторович",2985,65,141,104.0
"Підмогильний_Валер'ян_Петрович",2950,44,190,92.0
"Яновський_Юрій_Іванович",2884,28,215,90.0
"Світоліна_Еліна_Михайлівна",2856,52,217,93.0
"Рабінович_Вадим_Зіновійович",2736,58,179,89.0
"Богословська_Інна_Германівна",2688,45,176,78.0
"Харківський_національний_університет_імені_В._Н._Каразіна",2529,43,132,85.0
"Аласанія_Зурабі_Григорович",2492,7,538,41.0
"Білецький_Андрій_Євгенійович",2442,39,183,77.0
"Бабкін_Сергій_Миколайович",2418,30,583,65.0
"Бондар_Віктор_Васильович",2396,28,243,63.0
"Кривенко_Віктор_Миколайович",2392,43,151,78.0
"Пам'ятник_Тарасові_Шевченку_(Харків)",2278,27,160,74.0
"Кобцев_Михайло_Валентинович",2247,0,585,11.0
"Володимир_Дантес",2243,44,131,77.0
"Биков_Леонід_Федорович",2209,32,162,70.0
"Кірш_Олександр_Вікторович",2164,2,525,25.0
"Гулак-Артемовський_Петро_Петрович",2128,31,141,63.0
"БТР-4",2119,34,185,64.0
"Ушкалов_Леонід_Володимирович",2093,0,1189,3.0
"Мина_Мазайло",2078,35,109,75.0
"Полторак_Степан_Тимофійович",2023,32,125,67.0
"Кропивницький_Марко_Лукич",1945,33,142,61.0
"Кернес_Геннадій_Адольфович",1835,36,194,52.0
"Мечников_Ілля_Ілліч",1797,35,114,57.0
"Яворницький_Дмитро_Іванович",1761,23,141,53.0
"Танок_на_майдані_Конґо",1725,22,145,55.0
"Харківський_тракторний_завод",1671,26,85,61.0
"Історія_Харкова",1667,15,125,50.0
"Харківський_метрополітен",1587,28,100,51.0
"Березіль",1577,19,129,48.0
"Кекелія_Віра_Варламівна",1551,7,473,36.0
"Українська_народна_партія_(1902)",1538,12,134,49.0
"Т-84У_«Оплот»",1534,32,154,48.0
"Світличний_Іван_Олексійович",1522,15,114,52.0
"Добкін_Михайло_Маркович",1358,23,91,46.0
"Чикаленко_Євген_Харламович",1345,24,77,44.0
"Михайлюта_Олег_Ігорович",1315,9,338,24.0
"Хомутиннік_Віталій_Юрійович",1305,8,122,35.0
"Поводир_(фільм,_2013)",1298,29,63,44.0
"Олійник_Володимир_Миколайович",1285,10,170,27.0
"Ландау_Лев_Давидович",1237,17,76,41.0
"Фукс_Павло_Якович",1223,7,356,20.0
"Т-80УД",1222,8,190,24.0
"Перша_столиця_України",1218,28,65,40.0
"Михайль_Семенко",1209,17,84,39.0
"Всеукраїнський_з'їзд_рад_(Харків)",1202,18,75,42.0
"Васильківський_Сергій_Іванович",1185,11,86,41.0
"Світлична_Юлія_Олександрівна",1139,12,120,31.0
"Екологічна_ситуація_в_Харкові",1133,8,81,37.0
"Павелко_Андрій_Васильович",1104,12,81,41.0
"Гвоздик_Олександр_Сергійович",1092,17,78,33.0
"Другий_апеляційний_адміністративний_суд",1086,6,76,43.0
"Косинка_Григорій_Михайлович",1074,5,112,25.0
"Іваненко_Оксана_Дмитрівна",1048,8,104,32.0
"Кірпа_Георгій_Миколайович",1025,21,60,35.0
"БТР-3",1011,22,56,33.0
"Райони_Харкова",1009,8,113,30.0
"Список_вулиць_Харкова_(А)",1009,7,60,38.0
"Держпром",995,13,87,28.0
"Маркевич_Мирон_Богданович",988,10,196,25.0
"Комаровський_Євген_Олегович",986,21,63,31.0
"Черновецький_Леонід_Михайлович",980,23,54,32.0
"Бажан_Микола_Платонович",977,13,62,32.0
"Забіла_Наталя_Львівна",972,13,153,29.0
"Курченко_Сергій_Віталійович",955,17,81,31.0
"Ведель_Артем_Лук'янович",945,13,60,32.0
"Петренко_Михайло_Миколайович",938,9,66,30.0
"Гапчинська_Євгенія_Геннадіївна",924,9,63,30.0
"Т-25_(трактор)",922,22,42,32.0
"Ромеро_Бонфим_Марлос",919,10,124,25.0
"Гурченко_Людмила_Марківна",905,11,108,27.0
"Богатирьова_Раїса_Василівна",885,8,91,22.0
"Колодуб_Лев_Миколайович",882,1,346,4.0
5'nizza,882,14,113,28.0
"Остроградський_Михайло_Васильович",881,17,56,31.0
"Онищенко_Олександр_Романович",872,18,53,28.0
"Т-84-120_«Ятаган»",853,16,46,27.0
"Сидоренко_Олександр_Аркадійович",835,5,113,19.0
