name,total,min,max,median
"Микола_Хвильовий",26678,167,1688,674.5
"Сковорода_Григорій_Савич",21035,211,1882,603.0
"Яновський_Юрій_Іванович",13930,70,1131,318.5
"Тичина_Павло_Григорович",12576,68,947,328.0
"Харків",10884,194,534,320.5
"Кива_Ілля_Володимирович",10128,31,2489,134.5
"Остап_Вишня",8034,59,488,247.5
"Білецький_Андрій_Євгенійович",7582,65,526,170.5
"Іван_Сірко",7143,140,398,210.0
"Підмогильний_Валер'ян_Петрович",7113,49,543,196.5
"Довженко_Олександр_Петрович",6860,58,348,227.5
"Костомаров_Микола_Іванович",6594,63,410,179.0
"Гвоздик_Олександр_Сергійович",6571,22,1843,66.5
"Національний_заслужений_академічний_український_народний_хор_України_імені_Григорія_Верьовки",6319,9,3139,25.0
"Кропивницький_Марко_Лукич",5992,42,519,134.5
"Сосюра_Володимир_Миколайович",5386,48,365,166.5
"Чернишов_Олексій_Михайлович",5054,0,1950,9.5
"Грінченко_Борис_Дмитрович",5018,43,346,162.5
"Лисенко_Микола_Віталійович",4829,37,242,163.0
"Михайль_Семенко",4783,42,356,126.0
"Іван_Багряний",4343,47,267,126.5
MARUV,4341,58,660,98.0
"Жадан_Сергій_Вікторович",3949,72,235,119.0
"Кучер_Олексій_Володимирович",3944,6,1051,29.0
"Гончар_Олесь_Терентійович",3507,40,200,110.5
"Онищенко_Олександр_Романович",3485,21,945,49.0
"Ромеро_Бонфим_Марлос",3331,14,974,46.0
"Володимир_Дантес",3307,18,328,91.5
"Мина_Мазайло",3137,28,166,109.5
"Харківський_національний_університет_імені_В._Н._Каразіна",3070,33,173,92.5
"Мечников_Ілля_Ілліч",2920,34,153,96.5
"Третьякова_Галина_Миколаївна",2873,3,802,27.5
"Всеукраїнський_з'їзд_рад_(Харків)",2871,13,251,64.0
"Майк_Йогансен",2656,11,303,42.5
"Квітка-Основ'яненко_Григорій_Федорович",2619,30,146,79.0
"Аваков_Арсен_Борисович",2608,45,167,77.5
"Свідзінський_Володимир_Євтимович",2492,6,376,35.5
"Лесь_Курбас",2371,30,133,67.0
"Історія_Харкова",2059,22,134,59.0
"Шелест_Петро_Юхимович",1986,16,186,50.0
"Пам'ятник_Тарасові_Шевченку_(Харків)",1956,19,140,62.5
"Паша_Маргарита_Геннадіївна",1943,3,657,13.0
"Братство_тарасівців",1903,13,104,56.0
"Поводир_(фільм,_2013)",1832,27,122,52.0
"Тютюнник_Григір_Михайлович",1824,22,121,53.5
"Місюра_Вадим_Ярославович",1805,19,206,35.5
"Юзеф_Пілсудський",1800,30,91,52.5
"Павелко_Андрій_Васильович",1759,8,289,25.5
"Харківський_метрополітен",1755,38,107,50.0
"Світоліна_Еліна_Михайлівна",1728,24,166,45.0
"Клочкова_Яна_Олександрівна",1721,14,109,48.5
"Світлична_Юлія_Олександрівна",1716,15,388,41.0
"Бабкін_Сергій_Миколайович",1709,22,164,49.5
"Перша_столиця_України",1625,25,116,45.0
"Маркевич_Мирон_Богданович",1604,17,123,46.0
"Сніжана_Бабкіна",1603,16,165,44.0
"Рудницький_Степан_Львович",1594,17,116,41.5
"Т-64",1577,35,78,48.0
"Соболь_Едуард_Олександрович",1560,2,550,16.0
"Кернес_Геннадій_Адольфович",1534,24,127,41.5
"Українська_народна_партія_(1902)",1519,8,88,50.0
"Сільченко_Катерина_Леонідівна",1518,15,127,40.5
"Палладін_Олександр_Володимирович",1515,7,124,41.0
"Ляшко_Олег_Валерійович",1471,31,70,43.5
"Яворницький_Дмитро_Іванович",1466,20,76,43.5
"Металіст_(Харків)",1464,27,90,43.0
"Добкін_Михайло_Маркович",1429,19,136,37.5
