name,total,min,max,median
"Мина_Мазайло",25823,33,1832,773.5
"Квітка-Основ'яненко_Григорій_Федорович",16289,22,1235,501.0
"Сковорода_Григорій_Савич",14811,66,1264,443.5
"Сосюра_Володимир_Миколайович",13018,39,1139,387.5
"Остап_Вишня",12718,21,1029,393.0
"Довженко_Олександр_Петрович",11557,39,851,330.5
"Іван_Багряний",9545,23,731,300.5
"Тютюнник_Григір_Михайлович",9102,21,711,259.0
"Харків",8654,123,413,270.5
"Шелест_Петро_Юхимович",8535,14,577,277.0
"Микола_Хвильовий",8355,26,461,249.0
"Гіндін_В'ячеслав_Йосипович",6251,32,470,191.0
"Аваков_Арсен_Борисович",5905,55,678,164.5
"Лисенко_Микола_Віталійович",5834,36,353,184.5
"Тичина_Павло_Григорович",5351,33,292,154.0
"Гончар_Олесь_Терентійович",5349,31,359,161.5
"Іван_Сірко",5324,84,330,161.0
"Пам'ятник_Тарасові_Шевченку_(Харків)",4650,3,440,97.5
"Костомаров_Микола_Іванович",4622,25,315,146.0
"Братство_тарасівців",4584,6,348,149.0
"Підмогильний_Валер'ян_Петрович",4574,6,323,139.5
"Яновський_Юрій_Іванович",4462,10,300,128.5
"Лесь_Курбас",4379,14,269,144.0
"Грінченко_Борис_Дмитрович",4348,17,377,133.5
"Венедіктова_Ірина_Валентинівна",4130,4,2343,18.0
"Харківський_національний_університет_імені_В._Н._Каразіна",4123,16,270,127.0
"Жадан_Сергій_Вікторович",4023,48,228,122.0
"Березіль",3939,10,323,121.0
"Гулак-Артемовський_Петро_Петрович",3858,16,252,124.5
MARUV,3495,57,627,87.0
"Бабкін_Сергій_Миколайович",3431,36,884,62.5
"Третьякова_Галина_Миколаївна",3396,3,1965,27.0
"Кива_Ілля_Володимирович",3363,33,463,76.5
"Юзеф_Пілсудський",3307,35,212,97.0
"Володимир_Дантес",3193,33,300,81.0
"Дідік_Данило_Андрійович",3023,10,693,29.5
"Білецький_Андрій_Євгенійович",2849,24,481,50.0
"Всеукраїнський_з'їзд_рад_(Харків)",2778,4,194,92.5
"Мечников_Ілля_Ілліч",2472,13,151,71.0
"Биков_Леонід_Федорович",2317,23,444,65.0
"Онищенко_Олександр_Романович",2254,14,451,39.0
"Ярославський_Олександр_Владиленович",2181,19,273,48.0
"Т-64",2147,34,174,59.0
"Мисливські_усмішки",2074,0,147,64.0
"Світличний_Іван_Олексійович",2020,8,115,64.0
"Остроградський_Михайло_Васильович",2013,5,147,57.5
"Клочкова_Яна_Олександрівна",1979,6,132,58.5
"Кропивницький_Марко_Лукич",1939,26,122,61.5
"БТР-4",1871,26,299,44.0
"Михайль_Семенко",1722,18,103,51.5
"Танок_на_майдані_Конґо",1662,33,113,46.5
"Шевельов_Юрій_Володимирович",1658,9,160,31.0
"Іваненко_Оксана_Дмитрівна",1631,1,167,35.5
"Теракт_під_час_Маршу_єдності_в_Харкові_(2015)",1566,3,283,11.5
"Чикаленко_Євген_Харламович",1530,3,115,48.5
"Поводир_(фільм,_2013)",1492,18,84,46.0
"Сніжана_Бабкіна",1453,16,207,34.0
"Харківський_метрополітен",1429,24,99,43.0
"Гурченко_Людмила_Марківна",1424,19,187,32.5
"Заріцька_Олександра_Сергіївна",1424,11,514,21.5
"Тютюнник_Григорій_Михайлович",1415,4,104,43.0
"Ляшко_Олег_Валерійович",1398,23,118,41.0
"Дорош_Володимир_Миколайович",1394,8,199,25.0
"Історія_Харкова",1380,6,84,41.5
"Рабінович_Вадим_Зіновійович",1354,20,70,41.5
"Ведель_Артем_Лук'янович",1330,5,110,34.0
"Перша_столиця_України",1295,17,81,37.5
"Яворницький_Дмитро_Іванович",1293,12,102,38.5
"Васильківський_Сергій_Іванович",1274,8,106,39.5
"Сільченко_Катерина_Леонідівна",1272,17,103,36.0
"Світоліна_Еліна_Михайлівна",1260,12,78,40.5
"Добкін_Михайло_Маркович",1246,14,101,38.0
"Держпром",1227,14,69,38.5
"Черновецький_Леонід_Михайлович",1220,14,96,28.0
"Хоткевич_Гнат_Мартинович",1175,8,96,34.5
"Кернес_Геннадій_Адольфович",1146,23,46,35.5
"Межевікін_Євген_Миколайович",1129,6,425,10.0
"Поперешнюк_Володимир_Анатолійович",1128,19,58,35.5
"Потебня_Олександр_Опанасович",1109,7,88,36.0
"Українська_народна_партія_(1902)",1107,7,75,32.0
"Косинка_Григорій_Михайлович",1080,3,184,25.5
"Т-25_(трактор)",1078,14,50,34.0
"Клімат_Харкова",1075,1,99,30.5
"Щербина_Борис_Євдокимович",1048,18,55,31.5
"Металіст_(Харків)",1009,11,86,28.0
"Національний_заслужений_академічний_український_народний_хор_України_імені_Григорія_Верьовки",1003,8,183,22.5
"Маркевич_Мирон_Богданович",1003,11,86,28.0
"Бажан_Микола_Платонович",1002,9,55,33.5
"Тайсон_Барселлос_Фреда",981,3,100,24.0
"Т-150К_(трактор)",964,13,67,27.5
"Місюра_Вадим_Ярославович",958,8,61,29.0
"Кірпа_Георгій_Миколайович",954,17,82,27.5
"Харківський_тракторний_завод",942,8,46,28.0
"Петренко_Михайло_Миколайович",940,6,90,21.5
"Дар'я_Кобякова",929,14,70,27.5
"Жадан_і_Собаки",913,12,61,26.5
"Паша_Маргарита_Геннадіївна",898,7,83,22.5
"Комаровський_Євген_Олегович",898,14,60,26.0
"Екологічна_ситуація_в_Харкові",891,0,89,27.0
"Мураєв_Євгеній_Володимирович",881,13,77,23.5
"Харків_(річка)",869,1,92,15.5
"Т-84У_«Оплот»",857,10,43,27.0
5'nizza,857,9,138,21.0
DCH,845,5,75,25.5
"Франко_Петро_Іванович",842,9,48,26.5
"Алехандро_Гомес",821,0,419,6.5
"Осиповський_Тимофій_Федорович",814,1,82,23.0
"Харківська_школа_романтиків",809,1,84,25.5
"Бєсєдін_Артем_Юрійович",792,6,95,16.0
"Срезневський_Ізмаїл_Іванович",778,2,60,23.0
"Список_вулиць_Харкова_(А)",772,3,46,28.0
"Стародубцев_Олександр_Євгенійович",772,2,63,18.5
"Завод_імені_В._О._Малишева",771,9,71,23.0
"Торохтій_Олексій_Павлович",760,0,118,6.0
"Кучер_Олексій_Володимирович",750,7,101,20.0
"Ландау_Лев_Давидович",747,9,44,22.0
"Ситник_Артем_Сергійович",737,3,121,16.5
"Варченко_Ольга_Олександрівна",731,6,166,14.0
"Бойко_Віктор_Степанович",716,0,112,15.0
"Куницький_Олександр_Олегович",710,11,40,20.0
"БТР-3",703,9,58,20.0
"Федецький_Артем_Андрійович",700,10,69,19.5
"Забіла_Наталя_Львівна",700,6,51,22.0
"Світлична_Юлія_Олександрівна",694,7,61,18.5
"Майк_Йогансен",685,5,47,21.0
"Рудницький_Степан_Львович",685,4,46,20.5
"Фатєєва_Наталя_Миколаївна",684,1,244,9.5
"Ромеро_Бонфим_Марлос",675,7,67,19.0
"Івашко_Володимир_Антонович",674,9,39,21.0
"Совсун_Інна_Романівна",668,3,118,15.0
"Рахманін_Сергій_Іванович",668,4,65,13.0
"Національний_юридичний_університет_імені_Ярослава_Мудрого",668,11,36,19.5
"Хомутиннік_Віталій_Юрійович",665,7,78,17.5
"Курченко_Сергій_Віталійович",661,5,47,19.5
"Чубарева_Ольга_Олексіївна",653,1,185,8.0
"Геращенко_Антон_Юрійович",653,3,72,17.0
"Бєлоусов_Євген_Вікторович",651,8,37,19.0
"Трублаїні_Микола_Петрович",649,5,39,19.0
"Гвоздик_Олександр_Сергійович",634,10,33,19.0
