name,total,min,max,median
"Тичина_Павло_Григорович",29446,192,1559,1079.0
"Тютюнник_Григір_Михайлович",19904,121,1384,583.0
"Довженко_Олександр_Петрович",18681,178,956,672.0
"Сковорода_Григорій_Савич",14320,180,840,461.0
"Українська_народна_партія_(1902)",13581,82,739,478.0
"Харків",11245,207,509,375.0
"Лисенко_Микола_Віталійович",10958,111,590,351.0
"Іван_Сірко",10952,151,574,345.0
"Микола_Хвильовий",10802,114,512,373.0
"Гончар_Олесь_Терентійович",8940,75,679,307.0
"Щербина_Борис_Євдокимович",7632,22,5222,46.0
"Аваков_Арсен_Борисович",6954,119,445,210.0
"Остап_Вишня",6672,78,356,221.0
"Іван_Багряний",6559,123,317,221.0
"Венедіктова_Ірина_Валентинівна",6529,74,585,197.0
"Комаровський_Євген_Олегович",6491,63,472,174.0
"Яворницький_Дмитро_Іванович",6438,75,335,210.0
"Костомаров_Микола_Іванович",6420,83,333,220.0
"Жадан_Сергій_Вікторович",6225,90,330,190.0
"Мина_Мазайло",6072,47,276,217.0
"Братство_тарасівців",5031,42,282,172.0
"Чикаленко_Євген_Харламович",4669,39,235,154.0
"Мечников_Ілля_Ілліч",4272,52,293,126.0
"Лесь_Курбас",4234,53,231,143.0
"Тютюнник_Григорій_Михайлович",4179,32,580,109.0
"Яновський_Юрій_Іванович",4146,39,281,137.0
"Грінченко_Борис_Дмитрович",4077,48,215,127.0
MARUV,4059,45,425,108.0
"Підмогильний_Валер'ян_Петрович",4049,43,278,129.0
"Черновецький_Леонід_Михайлович",4019,38,222,118.0
"Шелест_Петро_Юхимович",3879,56,184,132.0
"Юзеф_Пілсудський",3839,52,198,124.0
"Биков_Леонід_Федорович",3800,57,830,85.0
"Сосюра_Володимир_Миколайович",3609,51,206,117.0
"Володимир_Дантес",3460,65,198,105.0
"Полонська-Василенко_Наталія_Дмитрівна",3391,25,228,102.0
"Квітка-Основ'яненко_Григорій_Федорович",3098,35,151,105.0
"Васильківський_Сергій_Іванович",3055,24,196,95.0
"Березіль",3000,39,157,98.0
"Кропивницький_Марко_Лукич",2912,43,165,89.0
"Клочкова_Яна_Олександрівна",2877,24,164,100.0
"Екологічна_ситуація_в_Харкові",2849,42,170,80.0
"Ляшко_Олег_Валерійович",2725,37,298,77.0
"Харківський_національний_університет_імені_В._Н._Каразіна",2700,35,186,80.0
"Всеукраїнський_з'їзд_рад_(Харків)",2573,24,131,93.0
"Ландау_Лев_Давидович",2493,18,310,39.0
"Кива_Ілля_Володимирович",2301,44,161,67.0
"Історія_Харкова",2229,16,106,76.0
"Т-25_(трактор)",2181,38,110,69.0
"Дідік_Данило_Андрійович",2164,6,1003,15.0
"Ведель_Артем_Лук'янович",2145,22,149,62.0
"Рабінович_Вадим_Зіновійович",2089,36,141,59.0
"Бабкін_Сергій_Миколайович",2063,27,349,47.0
"Пам'ятник_Тарасові_Шевченку_(Харків)",2052,12,105,68.0
"Т-64",2027,45,94,65.0
"Сидоренко_Олександр_Аркадійович",2016,7,677,20.0
"Толмачов_Віктор_Ілліч",1999,7,255,40.0
"Сільченко_Катерина_Леонідівна",1902,20,174,48.0
"Худжамов_Рустам_Махмудкулович",1845,4,524,19.0
"Харківський_тракторний_завод",1738,31,83,58.0
"Ярославський_Олександр_Владиленович",1689,18,157,44.0
"Степовий_Яків_Степанович",1674,10,89,54.0
"Потебня_Олександр_Опанасович",1672,23,120,46.0
"Світлична_Юлія_Олександрівна",1664,10,532,27.0
"Поводир_(фільм,_2013)",1627,27,89,51.0
"Кернес_Геннадій_Адольфович",1615,24,95,48.0
"Михайль_Семенко",1613,16,98,51.0
"Гулак-Артемовський_Петро_Петрович",1536,16,87,47.0
"Кекелія_Віра_Варламівна",1526,4,318,24.0
"Лимонов_Едуард_Веніамінович",1505,15,136,44.0
"Поперешнюк_Володимир_Анатолійович",1498,27,195,42.0
"Шахов_Сергій_Володимирович",1431,17,192,37.0
"Перша_столиця_України",1415,17,68,47.0
"Мураєв_Євгеній_Володимирович",1403,22,75,43.0
"Трублаїні_Микола_Петрович",1386,14,164,43.0
"БТР-4",1381,21,160,37.0
"Держпром",1365,20,118,40.0
"Івашко_Володимир_Антонович",1301,21,71,41.0
"Марко_Девич",1286,5,283,20.0
"Гурченко_Людмила_Марківна",1281,24,80,40.0
"Алчевська_Христина_Данилівна",1256,10,113,33.0
"Світоліна_Еліна_Михайлівна",1243,19,74,37.0
"Шокін_Віктор_Миколайович",1233,11,214,28.0
"Білецький_Андрій_Євгенійович",1214,29,60,38.0
"Танок_на_майдані_Конґо",1212,21,100,36.0
"Добкін_Михайло_Маркович",1194,20,81,37.0
"Світличний_Іван_Олексійович",1168,16,63,37.0
"Мисливські_усмішки",1166,9,78,32.0
"Ситник_Артем_Сергійович",1162,11,137,28.0
"Бажан_Микола_Платонович",1154,22,54,37.0
"Левитський_Микола_Васильович",1148,8,90,34.0
"Харківський_метрополітен",1139,26,54,35.0
"Сніжана_Бабкіна",1114,14,107,29.0
"Покровський_собор_(Харків)",1113,14,65,36.0
"Пліс_Геннадій_Володимирович",1108,0,654,3.0
"Антонович_Дмитро_Володимирович",1097,10,91,30.0
"Металіст_(Харків)",1059,21,75,31.0
"Геращенко_Антон_Юрійович",1028,10,81,30.0
"Шевельов_Юрій_Володимирович",1014,13,108,27.0
"Наливайченко_Валентин_Олександрович",1008,9,136,25.0
"Павлова_Катерина_Сергіївна",1003,3,250,12.0
"Турбоатом",979,11,89,33.0
